"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&base_name=Trilobita&interval=Devonian&show=coords,timecompare"
"Access Time","Sat 2024-12-07 13:57:49 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Trilobita"
"","interval","Devonian"
"","timerule","major"
"","taxon_status","all"
"","show","coords,timecompare"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","time_contain","time_major","time_buffer","time_overlap"
"11187","occ","","","645","Phacopida indet.","order","21421","","Phacopida","order","21421","Famennian","","372.2","358.9","60985","7.833333","51.000000","Famennian","Famennian","Famennian","Famennian"
"11196","occ","","","646","Odontochile sp.","genus","21665","","Odontochile","genus","21665","Pridoli","Lochkovian","423","410.8","60938","144.279999","-36.759998","-","Lochkovian","Lochkovian","Lochkovian"
"11197","occ","","","646","Dalmanites sp.","genus","21523","","Dalmanites","genus","21523","Pridoli","Lochkovian","423","410.8","60938","144.279999","-36.759998","-","Lochkovian","Lochkovian","Lochkovian"
"11198","occ","","","646","Apocalymene sp.","genus","21445","subjective synonym of","Gravicalymene","genus","21587","Pridoli","Lochkovian","423","410.8","60938","144.279999","-36.759998","-","Lochkovian","Lochkovian","Lochkovian"
"11199","occ","","","646","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Pridoli","Lochkovian","423","410.8","60938","144.279999","-36.759998","-","Lochkovian","Lochkovian","Lochkovian"
"11200","occ","","","646","Trimerus sp.","genus","21805","","Trimerus","genus","21805","Pridoli","Lochkovian","423","410.8","60938","144.279999","-36.759998","-","Lochkovian","Lochkovian","Lochkovian"
"11213","occ","","","647","Dicranurus sp.","genus","19795","","Dicranurus","genus","19795","Pragian","","410.8","407.6","60938","144.279999","-36.759998","Pragian","Pragian","Pragian","Pragian"
"11214","occ","","","647","Odontochile sp.","genus","21665","","Odontochile","genus","21665","Pragian","","410.8","407.6","60938","144.279999","-36.759998","Pragian","Pragian","Pragian","Pragian"
"11215","occ","","","647","Apocalymene sp.","genus","21445","subjective synonym of","Gravicalymene","genus","21587","Pragian","","410.8","407.6","60938","144.279999","-36.759998","Pragian","Pragian","Pragian","Pragian"
"11237","occ","","","648","Koneprusia sp.","genus","19812","","Koneprusia","genus","19812","Early Emsian","","407.6","398.3","60971","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"11238","occ","","","648","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Early Emsian","","407.6","398.3","60971","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"11239","occ","","","648","Acanthopyge sp.","genus","19722","","Acanthopyge","genus","19722","Early Emsian","","407.6","398.3","60971","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"11240","occ","","","648","Otarion sp.","genus","21275","","Otarion","genus","21275","Early Emsian","","407.6","398.3","60971","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"11241","occ","","","648","Phacops sp.","genus","21701","","Phacops","genus","21701","Early Emsian","","407.6","398.3","60971","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"11306","occ","","","652","Trilobita indet.","class","19100","","Trilobita","class","19100","Early Devonian","","419.2","393.3","60973","-77.657219","39.636944","-","Emsian","Emsian","Lochkovian, Pragian, Emsian"
"11357","occ","","","654","Synphoria sp.","genus","21791","","Synphoria","genus","21791","Lochkovian","","419.2","410.8","61106","-64.483330","48.833332","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"11358","occ","","","654","Otarion sp.","genus","21275","","Otarion","genus","21275","Lochkovian","","419.2","410.8","61106","-64.483330","48.833332","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"11362","occ","","","654","Lepidoproetus ? sp.","genus","21233","","Lepidoproetus","genus","21233","Lochkovian","","419.2","410.8","61106","-64.483330","48.833332","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"11410","occ","","","659","Trilobita indet.","class","19100","","Trilobita","class","19100","Eifelian","","393.3","387.7","61511","-77.860275","40.793331","Eifelian","Eifelian","Eifelian","Eifelian"
"11419","occ","","","660","Otarion sp.","genus","21275","","Otarion","genus","21275","Eifelian","Givetian","393.3","382.7","61512","-124.000000","61.250000","-","Eifelian","Eifelian, Givetian","Eifelian, Givetian"
"11440","occ","","","662","Synphoroides biardi","species","21792","species not entered","Synphoroides","genus","21792","Pragian","","410.8","407.6","36816","-64.330002","48.880001","Pragian","Pragian","Pragian","Pragian"
"11447","occ","","","662","Synphoria sopita","species","21791","species not entered","Synphoria","genus","21791","Pragian","","410.8","407.6","36816","-64.330002","48.880001","Pragian","Pragian","Pragian","Pragian"
"11501","occ","","","667","Proetida indet.","order","21062","","Proetida","order","21062","Late Famennian","","365.3","358.9","60985","7.833333","51.500000","Famennian","Famennian","Famennian","Famennian"
"11502","occ","","","667","Phacopida indet.","order","21421","","Phacopida","order","21421","Late Famennian","","365.3","358.9","60985","7.833333","51.500000","Famennian","Famennian","Famennian","Famennian"
"11511","occ","","","668","Proetus sp.","genus","21327","","Proetus","genus","21327","Frasnian","","382.7","372.2","18530","-112.250000","42.500000","Frasnian","Frasnian","Frasnian","Frasnian"
"11554","occ","","","669","Phacops sp.","genus","21701","","Phacops","genus","21701","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"11555","occ","","","669","Trimerus sp.","genus","21805","","Trimerus","genus","21805","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"11611","occ","","","670","Phacops sp.","genus","21701","","Phacops","genus","21701","Givetian","","387.7","382.7","841","-77.520836","40.049999","Givetian","Givetian","Givetian","Givetian"
"11612","occ","","","670","Greenops sp.","genus","21588","","Greenops","genus","21588","Givetian","","387.7","382.7","841","-77.520836","40.049999","Givetian","Givetian","Givetian","Givetian"
"11613","occ","","","670","Trimerus sp.","genus","21805","","Trimerus","genus","21805","Givetian","","387.7","382.7","841","-77.520836","40.049999","Givetian","Givetian","Givetian","Givetian"
"39943","occ","","","3103","Ceratonurus sp.","genus","19789","","Ceratonurus","genus","19789","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39944","occ","","","3103","Kettneraspis williamsi","species","19811","species not entered","Kettneraspis","genus","19811","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39945","occ","","","3103","Kettneraspis williamsi","species","19811","species not entered","Kettneraspis","genus","19811","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39946","occ","","","3103","Cordania falcata","species","21127","species not entered","Cordania","genus","21127","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39947","occ","","","3103","Kainops raymondi","species","21614","species not entered","Kainops","genus","21614","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39948","occ","","","3103","Reedops deckeri","species","490299","recombined as","Lochkovella deckeri","species","490299","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39949","occ","","","3103","Paciphacops campbelli","species","21675","species not entered","Paciphacops","genus","21675","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39950","occ","","","3103","Dicranurus elegantus","species","19795","species not entered","Dicranurus","genus","19795","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39951","occ","","","3103","Huntonia oklahomae","species","21604","replaced by, species not entered","Huntoniatonia","genus","155453","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39952","occ","","","3103","Cyphaspis carrolli","species","21134","species not entered","Cyphaspis","genus","21134","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39953","occ","","","3104","Paciphacops campbelli","species","21675","species not entered","Paciphacops","genus","21675","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
